gender,weight,height,age,activity_level,calories_needed
female,76,168,23,sedentary,1841
female,50,153,20,light_exercise,1643
female,66,175,23,sedentary,1773
male,65,181,19,extra_active,2898
male,89,172,24,moderate_exercise,2610
female,69,171,23,extra_active,2817
male,64,153,18,very_active,2321
female,47,162,20,sedentary,1466
female,67,168,20,sedentary,1751
male,97,197,20,sedentary,2328
male,99,180,22,light_exercise,2536
male,75,158,24,light_exercise,2003
female,87,170,18,light_exercise,2312
male,99,167,19,extra_active,3378
male,58,190,21,sedentary,1802
female,50,155,24,very_active,2049
male,52,177,20,extra_active,2594
male,89,197,19,sedentary,2238
male,79,157,18,very_active,2622
female,83,172,22,very_active,2819
female,76,164,21,very_active,2620
female,72,156,23,moderate_exercise,2199
male,97,160,24,sedentary,2027
male,94,152,18,light_exercise,2254
male,87,184,21,moderate_exercise,2719
male,66,198,24,extra_active,3071
female,77,167,22,very_active,2661
female,63,165,22,light_exercise,1912
male,92,175,19,sedentary,2109
male,73,172,19,moderate_exercise,2401
male,86,199,21,moderate_exercise,2849
male,92,182,22,sedentary,2144
male,69,190,19,sedentary,1946
male,91,153,23,extra_active,3021
female,40,159,23,very_active,1928
male,76,198,19,light_exercise,2395
female,83,156,18,light_exercise,2137
female,42,161,23,moderate_exercise,1783
male,63,196,23,moderate_exercise,2447
female,54,164,23,sedentary,1547
male,91,162,21,very_active,2857
male,91,192,24,extra_active,3475
male,57,160,23,very_active,2232
male,92,156,21,light_exercise,2240
male,96,161,23,very_active,2916
female,47,169,19,sedentary,1524
male,94,196,20,extra_active,3618
female,89,152,24,sedentary,1871
male,62,161,19,moderate_exercise,2124
male,55,176,23,moderate_exercise,2130
male,81,187,23,moderate_exercise,2639
female,47,157,24,light_exercise,1609
female,53,157,19,sedentary,1506
female,89,173,22,extra_active,3230
male,59,168,20,sedentary,1655
male,90,181,20,extra_active,3363
female,66,177,24,sedentary,1782
female,85,170,18,very_active,2866
female,43,178,18,moderate_exercise,2002
male,92,168,22,extra_active,3228
male,98,183,22,sedentary,2223
male,65,195,18,extra_active,3074
female,44,162,21,very_active,2047
male,85,197,22,extra_active,3439
female,66,171,22,light_exercise,2004
female,57,156,24,sedentary,1517
female,81,153,19,sedentary,1812
male,80,178,22,sedentary,1970
female,85,161,22,moderate_exercise,2457
female,69,161,24,sedentary,1698
male,64,182,19,moderate_exercise,2358
female,45,156,20,light_exercise,1600
male,51,194,18,sedentary,1766
female,75,174,21,very_active,2711
female,53,170,19,very_active,2305
male,64,166,20,sedentary,1700
female,72,159,21,sedentary,1737
male,88,187,22,extra_active,3378
female,42,150,18,sedentary,1328
male,64,158,20,moderate_exercise,2118
male,86,169,24,sedentary,1962
female,52,151,19,sedentary,1449
female,48,176,22,moderate_exercise,2029
male,63,171,21,moderate_exercise,2221
female,55,174,19,light_exercise,1900
male,75,191,19,sedentary,2025
male,76,188,24,extra_active,3143
male,86,166,22,extra_active,3090
male,54,185,18,moderate_exercise,2240
female,63,168,22,sedentary,1691
male,56,176,18,light_exercise,1937
male,64,199,24,sedentary,1923
female,79,150,24,extra_active,2748
female,60,150,21,light_exercise,1748
female,87,150,20,extra_active,2938
male,70,199,20,sedentary,2019
female,57,164,19,sedentary,1607
male,74,153,22,light_exercise,1960
male,63,156,18,moderate_exercise,2099
male,96,175,18,light_exercise,2479
female,52,173,22,very_active,2295
male,81,174,19,moderate_exercise,2544
male,87,158,24,very_active,2719
female,44,176,19,very_active,2215
male,59,153,19,extra_active,2451
male,60,157,24,moderate_exercise,2015
female,45,162,22,extra_active,2264
male,73,174,23,sedentary,1850
male,65,193,21,very_active,2743
female,57,150,21,light_exercise,1707
male,71,181,21,very_active,2717
female,55,160,22,light_exercise,1759
male,70,170,23,moderate_exercise,2304
male,50,155,20,extra_active,2295
female,43,168,22,moderate_exercise,1874
male,93,180,19,very_active,3103
female,59,171,23,light_exercise,1901
male,81,161,20,extra_active,2955
female,78,170,20,moderate_exercise,2451
female,87,171,24,moderate_exercise,2570
male,73,167,22,moderate_exercise,2329
female,47,179,22,very_active,2273
male,50,176,22,extra_active,2525
female,62,164,19,moderate_exercise,2153
female,41,161,24,extra_active,2157
female,42,179,20,sedentary,1533
male,70,173,22,very_active,2605
male,63,174,18,very_active,2530
female,41,151,18,extra_active,2095
male,78,196,21,light_exercise,2391
male,77,190,24,extra_active,3185
male,53,154,18,extra_active,2359
male,91,163,20,extra_active,3169
male,77,157,24,moderate_exercise,2279
female,66,178,19,sedentary,1820
male,79,185,23,sedentary,2004
female,79,155,23,very_active,2558
male,70,156,23,sedentary,1679
male,72,165,24,moderate_exercise,2279
male,61,199,22,moderate_exercise,2453
male,61,182,22,very_active,2547
female,55,169,21,extra_active,2546
male,57,152,23,light_exercise,1710
female,71,164,18,very_active,2560
female,43,173,19,extra_active,2385
male,62,191,24,very_active,2644
male,84,193,21,extra_active,3382
female,48,150,22,light_exercise,1576
female,85,153,19,sedentary,1860
male,78,155,22,light_exercise,2032
male,61,167,23,light_exercise,1894
female,63,153,22,very_active,2269
male,88,186,23,light_exercise,2429
female,44,155,23,extra_active,2152
male,91,183,20,very_active,3092
male,55,178,22,light_exercise,1913
male,55,165,21,moderate_exercise,2039
female,46,164,22,sedentary,1457
male,88,192,20,extra_active,3456
male,95,165,21,light_exercise,2358
male,52,182,21,light_exercise,1913
female,64,172,19,moderate_exercise,2261
male,81,175,18,moderate_exercise,2562
female,83,171,19,very_active,2834
female,57,156,18,sedentary,1553
female,58,170,18,extra_active,2644
female,66,167,20,sedentary,1731
male,66,186,18,moderate_exercise,2436
male,88,169,20,light_exercise,2303
male,89,187,18,light_exercise,2486
male,91,192,20,light_exercise,2542
female,72,170,18,sedentary,1838
female,65,174,22,sedentary,1760
female,50,157,18,sedentary,1476
male,93,197,23,extra_active,3582
female,40,160,18,sedentary,1379
male,84,186,24,light_exercise,2367
male,52,168,20,moderate_exercise,2029
female,75,178,18,extra_active,3062
male,83,150,18,light_exercise,2085
female,62,175,23,extra_active,2732
female,57,153,18,moderate_exercise,1977
female,85,164,19,moderate_exercise,2509
male,65,160,19,sedentary,1673
male,88,179,18,very_active,3015
male,58,197,19,very_active,2683
female,69,159,22,sedentary,1695
male,72,165,20,sedentary,1788
female,81,154,19,extra_active,2881
female,74,172,22,very_active,2663
female,64,167,24,very_active,2420
female,75,151,23,moderate_exercise,2198
male,79,164,18,very_active,2698
female,81,174,21,sedentary,1958
female,54,176,20,sedentary,1655
female,82,152,20,very_active,2603
female,40,156,19,moderate_exercise,1734
male,50,193,18,light_exercise,2001
male,83,171,20,very_active,2825
male,84,170,23,moderate_exercise,2521
male,57,162,20,moderate_exercise,2048
male,80,196,23,sedentary,2099
male,71,166,24,sedentary,1760
female,75,164,19,moderate_exercise,2354
male,85,189,18,moderate_exercise,2759
female,50,179,23,sedentary,1611
male,72,160,24,light_exercise,1979
female,81,151,20,light_exercise,2053
male,96,171,23,light_exercise,2410
female,81,154,23,extra_active,2843
female,72,174,18,light_exercise,2140
female,43,158,22,sedentary,1376
female,58,158,24,very_active,2219
male,99,167,19,very_active,3067
male,92,181,19,sedentary,2154
female,81,151,19,sedentary,1797
male,97,151,22,very_active,2834
female,68,151,23,light_exercise,1853
female,81,152,19,very_active,2594
female,81,178,18,sedentary,2006
female,43,169,21,very_active,2105
female,64,161,23,light_exercise,1884
female,83,169,19,extra_active,3097
male,85,191,22,moderate_exercise,2748
female,85,178,18,extra_active,3252
female,61,173,18,extra_active,2736
male,85,152,23,light_exercise,2096
male,81,155,18,moderate_exercise,2368
female,56,160,18,extra_active,2487
female,63,162,23,extra_active,2596
female,57,173,19,light_exercise,1918
male,69,174,22,light_exercise,2071
female,64,169,23,moderate_exercise,2201
female,49,155,24,moderate_exercise,1826
male,88,168,19,very_active,2888
female,68,153,18,light_exercise,1905
female,49,152,22,light_exercise,1607
male,74,163,18,light_exercise,2073
female,40,150,22,extra_active,2026
female,42,165,24,sedentary,1404
male,98,171,22,very_active,3067
male,79,169,23,very_active,2709
female,67,156,20,moderate_exercise,2145
female,64,168,23,extra_active,2687
male,65,165,19,moderate_exercise,2209
female,61,162,18,very_active,2366
female,79,159,23,very_active,2601
male,76,151,18,moderate_exercise,2252
male,55,189,24,extra_active,2755
male,69,152,18,moderate_exercise,2153
male,90,177,23,extra_active,3287
female,87,155,18,sedentary,1905
female,47,177,21,sedentary,1572
male,80,181,24,moderate_exercise,2558
female,67,168,21,very_active,2508
male,55,170,19,sedentary,1628
female,83,167,20,very_active,2782
male,97,157,18,light_exercise,2338
female,58,174,19,very_active,2435
female,68,171,20,very_active,2566
male,86,163,22,extra_active,3055
female,78,160,21,very_active,2612
female,62,157,20,moderate_exercise,2077
male,87,164,22,extra_active,3086
female,60,156,22,sedentary,1565
female,56,161,18,very_active,2269
female,66,159,18,moderate_exercise,2174
female,57,159,23,sedentary,1545
female,41,162,21,extra_active,2197
male,75,165,24,moderate_exercise,2325
female,67,166,20,moderate_exercise,2242
male,81,164,18,very_active,2732
male,85,195,24,extra_active,3397
male,57,151,20,very_active,2161
female,87,164,23,light_exercise,2226
female,83,163,24,very_active,2704
male,64,176,22,very_active,2534
male,96,173,21,sedentary,2130
female,50,177,24,extra_active,2518
male,96,156,23,very_active,2862
male,86,185,20,sedentary,2106
male,98,164,19,very_active,3017
male,80,172,21,light_exercise,2212
male,97,190,23,sedentary,2258
male,87,179,21,light_exercise,2369
male,86,151,24,very_active,2627
female,59,157,18,moderate_exercise,2046
female,79,169,20,extra_active,3012
male,62,174,19,light_exercise,1996
male,70,159,24,very_active,2437
female,50,163,21,very_active,2161
female,67,179,24,extra_active,2865
female,45,167,19,moderate_exercise,1919
male,64,193,22,light_exercise,2166
male,58,183,23,light_exercise,1991
female,59,164,18,extra_active,2592
female,77,171,22,light_exercise,2156
male,95,199,19,very_active,3343
male,77,177,20,extra_active,3069
female,55,152,22,extra_active,2335
female,55,158,24,light_exercise,1728
male,60,196,20,light_exercise,2150
female,75,153,21,sedentary,1728
female,78,169,23,extra_active,2964
female,87,174,19,extra_active,3233
male,78,153,19,extra_active,2812
male,91,157,21,light_exercise,2235
male,87,180,19,moderate_exercise,2695
female,73,157,18,extra_active,2774
female,58,158,22,light_exercise,1783
male,83,165,24,very_active,2726
female,52,172,24,light_exercise,1807
male,60,154,18,very_active,2262
female,80,156,19,extra_active,2886
male,56,179,18,sedentary,1713
female,64,169,23,light_exercise,1953
male,85,186,23,moderate_exercise,2692
female,46,169,21,moderate_exercise,1938
female,85,168,24,extra_active,3076
female,52,158,19,extra_active,2378
male,57,183,24,moderate_exercise,2221
female,53,170,21,extra_active,2520
male,64,162,22,light_exercise,1900
female,75,169,23,sedentary,1836
male,65,175,24,light_exercise,2011
female,56,165,23,sedentary,1578
male,71,179,24,extra_active,2941
female,85,172,19,very_active,2879
male,69,191,23,sedentary,1929
male,75,153,24,very_active,2459
male,86,178,22,very_active,2935
female,59,167,19,extra_active,2618
male,61,158,24,moderate_exercise,2041
male,64,199,21,extra_active,3074
female,41,172,21,very_active,2103
male,67,174,18,very_active,2599
female,55,164,18,very_active,2284
female,76,174,22,very_active,2719
female,47,176,20,light_exercise,1800
female,71,176,21,light_exercise,2123
female,42,170,19,extra_active,2330
male,97,192,21,moderate_exercise,2951
male,62,181,20,light_exercise,2049
female,86,169,20,light_exercise,2276
female,73,169,24,very_active,2597
female,45,161,19,light_exercise,1650
male,67,156,19,moderate_exercise,2153
male,76,186,24,very_active,2832
male,97,155,21,very_active,2885
female,76,174,19,light_exercise,2188
male,63,151,22,very_active,2247
male,62,177,19,extra_active,2793
female,43,178,21,light_exercise,1755
male,69,179,22,sedentary,1845
male,68,199,23,extra_active,3131
female,88,170,23,very_active,2875
male,79,195,22,extra_active,3302
female,59,157,24,light_exercise,1774
female,84,161,18,sedentary,1914
male,64,192,20,light_exercise,2171
female,54,153,21,moderate_exercise,1907
female,60,159,22,very_active,2282
female,50,166,23,sedentary,1514
male,53,166,23,moderate_exercise,2002
male,62,169,20,extra_active,2689
female,45,150,21,extra_active,2131
female,57,157,18,moderate_exercise,2015
female,88,157,18,sedentary,1932
female,81,163,19,very_active,2713
male,76,154,21,extra_active,2767
female,57,169,22,moderate_exercise,2101
male,69,163,21,sedentary,1731
male,58,188,23,light_exercise,2034
female,52,151,19,sedentary,1449
male,78,192,20,moderate_exercise,2664
female,47,154,20,very_active,2021
male,61,160,23,sedentary,1601
female,81,156,20,very_active,2629
male,97,187,21,very_active,3230
female,59,158,24,light_exercise,1783
female,83,151,19,moderate_exercise,2353
female,42,165,19,sedentary,1434
male,89,199,23,very_active,3205
male,86,197,24,very_active,3123
male,89,157,23,very_active,2752
male,66,176,18,light_exercise,2075
female,70,172,23,sedentary,1799
female,80,163,21,sedentary,1863
female,52,173,19,sedentary,1614
male,81,186,18,sedentary,2066
male,79,177,22,light_exercise,2235
male,71,194,22,moderate_exercise,2560
female,58,162,23,extra_active,2501
male,79,176,18,sedentary,1967
female,54,163,21,light_exercise,1778
female,48,157,24,light_exercise,1623
female,60,156,21,light_exercise,1800
male,63,195,20,extra_active,3017
male,88,195,20,very_active,3170
male,56,177,18,extra_active,2689
male,80,188,24,sedentary,2033
female,75,177,22,sedentary,1902
male,82,178,19,very_active,2892
female,58,168,19,extra_active,2611
female,58,178,20,sedentary,1718
female,63,152,18,sedentary,1595
male,71,191,19,light_exercise,2266
male,94,160,22,extra_active,3171
male,65,193,18,very_active,2769
female,81,153,22,extra_active,2841
female,47,178,19,extra_active,2520
male,52,198,19,moderate_exercise,2327
male,60,182,21,moderate_exercise,2281
female,64,175,21,light_exercise,2018
male,84,174,19,very_active,2883
